TIME,HEC01.1500_Q,HEC04.5000_Q,HEC04.1000_Q,HEC02.3500_Q,HEC02.2000_Q,HEC04.5250_S,HEC04.1500_S
HOUR,RAS Obs. 1,RAS Obs. 2,RAS Obs. 3,RAS Obs. 4,RAS Obs. 5,RAS Obs. 6,RAS Obs. 7
142,0,0,0,0.004191,0.004194,3.003191,2.003093
143,0,0,0,0.004172,0.004174,3.003191,2.003093
144,0,0,0,0.004151,0.004149,3.00319,2.003093
145,0,0,0,0.00413,0.004132,3.00319,2.003093
146,0,0,0,0.004107,0.004107,3.003191,2.003093
147,0,0,0,0.004087,0.004089,3.003191,2.003093
148,0,0,0,0.004071,0.004068,3.003191,2.003093
149,0,0,0,0.004046,0.004049,3.003191,2.003093
150,0,0,0,0.004028,0.004027,3.003191,2.003093
151,0,0,0,0.004005,0.004005,3.003191,2.003093
152,0,0,0,0.003988,0.003986,3.003191,2.003093
153,0,0,0,0.003971,0.00397,3.003191,2.003093
154,0,0,0,0.003948,0.003949,3.003191,2.003093
155,0,0,0,0.003929,0.003932,3.003191,2.003093
156,0,0,0,0.003909,0.003912,3.00319,2.003093
157,0,0,0,0.00389,0.003892,3.003191,2.003093
158,0,0,0,0.003872,0.003874,3.003191,2.003093
159,0,0,0,0.003856,0.003855,3.003191,2.003093
160,0,0,0,0.003838,0.003835,3.003191,2.003093
161,0,0,0,0.003817,0.003818,3.00319,2.003093
162,0,0,0,0.003798,0.003797,3.003191,2.003093
163,0,0,0,0.003781,0.003782,3.003191,2.003093
164,0,0,0,0.003765,0.003765,3.00319,2.003093
165,0,0,0,0.003746,0.003747,3.003191,2.003093
166,0,0,0,0.00373,0.00373,3.003191,2.003093
167,0,0,0,0.00371,0.003712,3.003191,2.003093
168,0,0,0,0.003692,0.003694,3.00319,2.003093
169,0,0,0,0.003677,0.003678,3.00319,2.003093
