 col,row,time,value
         8,         7,  0.6800000E+03,  0.6590000E+00
         8,         7,  0.6900000E+03,  0.6561000E+00
         8,         7,  0.7000000E+03,  0.6533000E+00
         8,         7,  0.7100000E+03,  0.6507000E+00
         8,         7,  0.7200000E+03,  0.6480000E+00
         8,         7,  0.7300000E+03,  0.6455000E+00
         8,         7,  0.7400000E+03,  0.6431000E+00
         8,         7,  0.7500000E+03,  0.6407000E+00
         8,         7,  0.7600000E+03,  0.6384000E+00
         8,         7,  0.7700000E+03,  0.6361000E+00
         8,         7,  0.7800000E+03,  0.6339000E+00
         8,         7,  0.7900000E+03,  0.6318000E+00
         8,         7,  0.8000000E+03,  0.6298000E+00
         8,         7,  0.8100000E+03,  0.6277000E+00
         8,         7,  0.8200000E+03,  0.6258000E+00
         8,         7,  0.8300000E+03,  0.6239000E+00
         8,         7,  0.8400000E+03,  0.6220000E+00
         8,         7,  0.8500000E+03,  0.6202000E+00
         8,         7,  0.8600000E+03,  0.6184000E+00
         8,         7,  0.8700000E+03,  0.6167000E+00
         8,         7,  0.8800000E+03,  0.6150000E+00
         8,         7,  0.8900000E+03,  0.6134000E+00
         8,         7,  0.9000000E+03,  0.6118000E+00
         8,         7,  0.9100000E+03,  0.6102000E+00
         8,         7,  0.9200000E+03,  0.6087000E+00
         8,         7,  0.9300000E+03,  0.6072000E+00
         8,         7,  0.9400000E+03,  0.6057000E+00
         8,         7,  0.9500000E+03,  0.6043000E+00
         8,         7,  0.9600000E+03,  0.6029000E+00
         8,         7,  0.9700000E+03,  0.6016000E+00
         8,         7,  0.9800000E+03,  0.6002000E+00
         8,         7,  0.9900000E+03,  0.5989000E+00
         8,         7,  0.1000000E+04,  0.5977000E+00
         8,         7,  0.1010000E+04,  0.5964000E+00
         8,         7,  0.1020000E+04,  0.5952000E+00
         8,         7,  0.1030000E+04,  0.5940000E+00
         8,         7,  0.1040000E+04,  0.5929000E+00
         8,         7,  0.1050000E+04,  0.5918000E+00
         8,         7,  0.1060000E+04,  0.5907000E+00
         8,         7,  0.1070000E+04,  0.5896000E+00
         8,         7,  0.1080000E+04,  0.5885000E+00
         8,         7,  0.1090000E+04,  0.5875000E+00
         8,         7,  0.1100000E+04,  0.5865000E+00
         8,         7,  0.1110000E+04,  0.5855000E+00
         8,         7,  0.1120000E+04,  0.5846000E+00
         8,         7,  0.1130000E+04,  0.5837000E+00
         8,         7,  0.1140000E+04,  0.5827000E+00
         8,         7,  0.1150000E+04,  0.5819000E+00
         8,         7,  0.1160000E+04,  0.5810000E+00
         8,         7,  0.1170000E+04,  0.5801000E+00
         8,         7,  0.1180000E+04,  0.5793000E+00
         8,         7,  0.1190000E+04,  0.5785000E+00
         8,         7,  0.1200000E+04,  0.5777000E+00
         8,         7,  0.1210000E+04,  0.5770000E+00
         8,         7,  0.1220000E+04,  0.5762000E+00
         8,         7,  0.1230000E+04,  0.5755000E+00
         8,         7,  0.1240000E+04,  0.5748000E+00
         8,         7,  0.1250000E+04,  0.5741000E+00
         8,         7,  0.1260000E+04,  0.5734000E+00
         8,         7,  0.1270000E+04,  0.5727000E+00
         8,         7,  0.1280000E+04,  0.5721000E+00
         8,         7,  0.1290000E+04,  0.5714000E+00
         8,         7,  0.1300000E+04,  0.5708000E+00
         8,         7,  0.1310000E+04,  0.5702000E+00
         8,         7,  0.1320000E+04,  0.5696000E+00
         8,         7,  0.1330000E+04,  0.5690000E+00
         8,         7,  0.1340000E+04,  0.5685000E+00
         8,         7,  0.1350000E+04,  0.5679000E+00
         8,         7,  0.1360000E+04,  0.5674000E+00
         8,         7,  0.1370000E+04,  0.5669000E+00
         8,         7,  0.1380000E+04,  0.5663000E+00
         8,         7,  0.1390000E+04,  0.5658000E+00
         8,         7,  0.1400000E+04,  0.5653000E+00
         8,         7,  0.1410000E+04,  0.5649000E+00
         8,         7,  0.1420000E+04,  0.5644000E+00
         8,         7,  0.1430000E+04,  0.5639000E+00
         8,         7,  0.1440000E+04,  0.5635000E+00
         8,         7,  0.1450000E+04,  0.5630000E+00
         8,         7,  0.1460000E+04,  0.5626000E+00
         8,         7,  0.1470000E+04,  0.5622000E+00
         8,         7,  0.1480000E+04,  0.5618000E+00
         8,         7,  0.1490000E+04,  0.5614000E+00
         8,         7,  0.1500000E+04,  0.5610000E+00
         8,         7,  0.1510000E+04,  0.5606000E+00
         8,         7,  0.1520000E+04,  0.5602000E+00
         8,         7,  0.1530000E+04,  0.5598000E+00
